,AncestorDinoArt,Archit,BWimage,Baseball,Basketball,Beach,Billiardsball,Bus,Car,Cartoon,Castle,Citynight,ClassicalPainting,Cropcycle,DeerAntelope,Desert,Dog,Doors,Eagle,Elephant,F1,Feasts,Flower,Grass,Group,Indoor,Lion,Masks,Model,Mountain,Owls,Penguin,Plane,Planet,Pumpkin,RacingMotor,Satelliteimage,Sculpt,Ship,Sky,Soccer,Stalactite,SubSea,Sunflower,Sunset,Surfs,Tennis,Tiger,Volleyball,Waterfall
AncestorDinoArt,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archit,0,25,1,0,0,1,0,1,1,1,9,1,1,0,1,1,1,3,0,0,0,0,0,2,2,1,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
BWimage,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baseball,0,0,0,47,0,2,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0
Basketball,0,0,0,0,51,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
Beach,0,1,0,0,0,43,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0
Billiardsball,0,0,0,0,1,0,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Bus,1,0,0,0,0,0,0,52,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Car,0,0,0,0,0,0,1,6,41,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Cartoon,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Castle,0,5,0,1,0,3,0,0,0,0,30,1,0,0,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,5,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Citynight,0,3,0,0,1,0,0,0,0,0,1,39,1,0,0,0,0,0,0,0,0,1,1,2,0,2,0,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
ClassicalPainting,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,0,0,0,0,1,0,0,1,3,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
