Classifier,Class,Precision,Recall,F1-Score,Dice,IoU,Support,Accuracy,Training_Time
KNN (K=7),AncestorDinoArt,0.759493670886076,1.0,0.8633093525179856,0.8633093525179856,0.759493670886076,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Archit,0.24,0.3,0.26666666666666666,0.26666666666666666,0.15384615384615385,60,0.5946666666666667,0.22016620635986328
KNN (K=7),BWimage,0.8939393939393939,0.9833333333333333,0.9365079365079365,0.9365079365079365,0.8805970149253731,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Baseball,0.5512820512820513,0.7166666666666667,0.6231884057971014,0.6231884057971014,0.45263157894736844,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Basketball,0.6805555555555556,0.8166666666666667,0.7424242424242424,0.7424242424242424,0.5903614457831325,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Beach,0.47058823529411764,0.5333333333333333,0.5,0.5,0.3333333333333333,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Billiardsball,0.8367346938775511,0.6833333333333333,0.7522935779816514,0.7522935779816514,0.6029411764705882,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Bus,0.6144578313253012,0.85,0.7132867132867133,0.7132867132867133,0.5543478260869565,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Car,0.84,0.35,0.49411764705882355,0.49411764705882355,0.328125,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Cartoon,0.85,0.85,0.85,0.85,0.7391304347826086,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Castle,0.3448275862068966,0.5,0.40816326530612246,0.40816326530612246,0.2564102564102564,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Citynight,0.5818181818181818,0.5333333333333333,0.5565217391304348,0.5565217391304348,0.3855421686746988,60,0.5946666666666667,0.22016620635986328
KNN (K=7),ClassicalPainting,0.31645569620253167,0.8333333333333334,0.45871559633027525,0.45871559633027525,0.2976190476190476,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Cropcycle,0.8448275862068966,0.8166666666666667,0.8305084745762712,0.8305084745762712,0.7101449275362319,60,0.5946666666666667,0.22016620635986328
